City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
126,Scarborough,GB,2020-04-18 01:24:30,54.28,-0.4,42.01,74,2,3.0,clear sky,0.0,0.0
127,Itarema,BR,2020-04-18 01:24:30,-2.92,-39.92,76.89,86,55,5.37,light rain,1.22,0.0
128,Saint George,US,2020-04-18 01:21:59,37.1,-113.58,73.0,21,1,13.87,clear sky,0.0,0.0
129,Kalmar,SE,2020-04-18 01:24:31,56.66,16.36,41.0,64,42,6.93,scattered clouds,0.0,0.0
130,Port Alfred,ZA,2020-04-18 01:24:31,-33.59,26.89,64.0,94,17,4.0,few clouds,0.0,0.0
131,Jumla,NP,2020-04-18 01:24:31,29.27,82.18,46.98,31,81,2.06,light rain,0.29,0.0
132,Kongolo,CD,2020-04-18 01:24:31,-5.38,27.0,69.73,82,100,0.96,overcast clouds,0.0,0.0
133,Ribeira Grande,PT,2020-04-18 01:24:32,38.52,-28.7,59.92,72,45,10.4,scattered clouds,0.0,0.0
134,Rolla,US,2020-04-18 01:22:36,37.95,-91.77,39.99,64,90,9.17,overcast clouds,0.0,0.0
135,Antofagasta,CL,2020-04-18 01:21:04,-23.65,-70.4,62.6,82,75,8.05,broken clouds,0.0,0.0
136,Bonavista,CA,2020-04-18 01:24:32,48.65,-53.11,30.99,66,83,5.99,light snow,0.0,0.36
137,Dikson,RU,2020-04-18 01:24:32,73.51,80.55,23.04,96,49,9.86,scattered clouds,0.0,0.0
138,Harper,LR,2020-04-18 01:24:33,4.38,-7.72,81.54,87,99,10.63,overcast clouds,0.0,0.0
139,Airai,TL,2020-04-18 01:24:33,-8.93,125.41,67.14,64,36,3.36,scattered clouds,0.0,0.0
140,North Bend,US,2020-04-18 01:24:33,43.41,-124.22,61.0,81,1,14.99,clear sky,0.0,0.0
141,Lingao,CN,2020-04-18 01:24:33,19.91,109.69,74.89,87,100,4.9,overcast clouds,0.0,0.0
142,Verkhnevilyuysk,RU,2020-04-18 01:24:34,63.45,120.32,10.0,89,36,6.76,scattered clouds,0.0,0.0
143,Skjervoy,NO,2020-04-18 01:24:34,70.03,20.97,36.05,80,100,22.28,light snow,0.0,0.63
144,Hilo,US,2020-04-18 01:24:34,19.73,-155.09,80.6,57,40,10.29,scattered clouds,0.0,0.0
145,Batagay-Alyta,RU,2020-04-18 01:23:10,67.8,130.41,-0.45,78,58,11.3,broken clouds,0.0,0.0
146,Paamiut,GL,2020-04-18 01:24:35,61.99,-49.67,26.24,92,96,8.59,light snow,0.0,0.37
147,Fortuna,US,2020-04-18 01:24:35,40.6,-124.16,63.0,76,20,11.41,few clouds,0.0,0.0
148,Kijang,KR,2020-04-18 01:22:24,35.24,129.21,59.0,58,40,11.41,scattered clouds,0.0,0.0
149,Mackay,AU,2020-04-18 01:24:35,-21.15,149.2,86.0,74,29,9.17,scattered clouds,0.0,0.0
150,Katobu,ID,2020-04-18 01:24:35,-4.94,122.53,82.51,77,3,3.71,clear sky,0.0,0.0
151,Fort-Shevchenko,KZ,2020-04-18 01:24:36,44.51,50.26,49.57,69,95,14.07,overcast clouds,0.0,0.0
152,Sola,VU,2020-04-18 01:24:36,-13.88,167.55,84.2,79,88,11.05,light rain,0.2,0.0
153,Arkhangelsk,RU,2020-04-18 01:24:36,64.54,40.54,32.0,97,90,3.98,overcast clouds,0.0,0.0
154,Lafiagi,NG,2020-04-18 01:24:36,8.87,5.42,84.61,65,99,9.15,overcast clouds,0.0,0.0
155,Kamenka,RU,2020-04-18 01:24:37,51.32,42.77,32.0,85,54,9.75,broken clouds,0.0,0.0
156,Frutal,BR,2020-04-18 01:24:37,-20.02,-48.94,71.26,70,91,6.2,overcast clouds,0.0,0.0
157,Los Altos Hills,US,2020-04-18 01:24:37,37.38,-122.14,63.0,59,75,16.11,broken clouds,0.0,0.0
158,Inhambane,MZ,2020-04-18 01:24:37,-23.86,35.38,75.18,82,17,8.77,few clouds,0.0,0.0
159,Londoko,RU,2020-04-18 01:24:38,49.03,131.98,56.79,31,2,2.13,clear sky,0.0,0.0
160,Lloydminster,CA,2020-04-18 01:24:38,53.28,-110.0,41.0,75,75,12.75,broken clouds,0.0,0.0
161,Chakulia,IN,2020-04-18 01:24:38,22.48,86.72,78.8,78,75,2.71,haze,0.0,0.0
162,Aksarka,RU,2020-04-18 01:24:38,66.56,67.8,33.76,95,100,9.48,overcast clouds,0.0,0.0
163,Mayor Pablo Lagerenza,PY,2020-04-18 01:24:39,-19.93,-60.77,68.43,41,42,5.23,scattered clouds,0.0,0.0
164,Kambove,CD,2020-04-18 01:22:06,-10.88,26.6,61.79,65,96,5.97,overcast clouds,0.0,0.0
165,Baghdad,IQ,2020-04-18 01:24:02,33.34,44.4,71.6,37,73,4.7,broken clouds,0.0,0.0
166,Ambovombe,MG,2020-04-18 01:24:39,-25.17,46.08,71.1,79,0,8.5,clear sky,0.0,0.0
167,Klyuchi,RU,2020-04-18 01:24:39,52.27,79.17,47.26,65,0,4.45,clear sky,0.0,0.0
168,Tambura,SS,2020-04-18 01:24:40,5.6,27.47,75.25,56,86,4.97,overcast clouds,0.0,0.0
169,Caceres,ES,2020-04-18 01:24:40,39.52,-6.37,51.01,91,99,0.56,overcast clouds,0.0,0.0
