City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Angoche,MZ,2020-04-17 03:32:08,-16.23,39.91,76.6,83,0,3.22
148,Tiarei,PF,2020-04-17 03:32:09,-17.53,-149.33,86.0,70,43,9.17
149,Ust-Maya,RU,2020-04-17 03:32:09,60.42,134.53,16.77,79,89,6.24
150,Hovd,MN,2020-04-17 03:32:09,48.01,91.64,41.2,46,99,2.68
151,Yuzhou,CN,2020-04-17 03:32:10,34.16,113.46,73.4,20,62,6.71
152,Vao,NC,2020-04-17 03:32:10,-22.67,167.48,74.8,64,2,8.84
153,Vanavara,RU,2020-04-17 03:32:10,60.34,102.28,31.84,87,100,11.07
154,Touros,BR,2020-04-17 03:32:11,-5.2,-35.46,75.2,100,40,3.36
155,Tucuman,AR,2020-04-17 03:32:11,-26.82,-65.22,64.4,82,29,6.93
156,Chuy,UY,2020-04-17 03:32:11,-33.7,-53.46,60.76,90,0,7.49
157,Bejucal,CU,2020-04-17 03:32:11,22.93,-82.39,82.4,83,40,8.05
158,Waddan,LY,2020-04-17 03:32:12,29.16,16.14,64.56,49,0,9.84
159,Kaitangata,NZ,2020-04-17 03:32:12,-46.28,169.85,51.01,73,99,11.01
160,Tonantins,BR,2020-04-17 03:32:12,-2.87,-67.8,74.66,94,100,1.36
161,Huarmey,PE,2020-04-17 03:32:13,-10.07,-78.15,73.74,70,35,7.52
162,Vestmannaeyjar,IS,2020-04-17 03:32:13,63.44,-20.27,45.03,95,100,12.93
163,Ozinki,RU,2020-04-17 03:32:13,51.18,49.68,40.66,80,74,25.48
164,Vila,PT,2020-04-17 03:32:13,42.03,-8.16,55.99,93,75,10.29
165,Isangel,VU,2020-04-17 03:32:13,-19.55,169.27,82.4,69,40,9.17
166,Khor,RU,2020-04-17 03:32:14,47.89,134.95,58.41,32,0,9.86
167,Havelock,US,2020-04-17 03:31:53,34.88,-76.9,52.0,62,1,1.43
168,Qaanaaq,GL,2020-04-17 03:32:14,77.48,-69.36,13.78,83,100,5.57
169,Little Falls,US,2020-04-17 03:32:14,40.87,-74.21,41.0,55,1,4.7
170,Maltahohe,NA,2020-04-17 03:32:03,-24.83,16.98,58.55,19,62,10.42
171,San Cristobal,VE,2020-04-17 03:32:15,7.77,-72.22,68.02,54,85,1.14
172,Arrecife,ES,2020-04-17 03:32:16,28.96,-13.55,68.0,72,0,2.24
173,High Level,CA,2020-04-17 03:32:16,58.52,-117.14,48.2,45,90,5.41
174,Rosa Zarate,EC,2020-04-17 03:32:16,0.33,-79.47,75.0,91,100,3.51
175,Port-Gentil,GA,2020-04-17 03:32:16,-0.72,8.78,80.37,84,100,9.19
176,Shieli,KZ,2020-04-17 03:32:16,44.17,66.75,58.37,41,0,4.05
177,Urumqi,CN,2020-04-17 03:29:13,43.8,87.6,53.6,81,75,2.24
178,Yakeshi,CN,2020-04-17 03:32:17,49.28,120.73,56.25,26,60,9.17
179,Lompoc,US,2020-04-17 03:32:17,34.64,-120.46,57.99,82,75,5.82
180,Vila Franca Do Campo,PT,2020-04-17 03:32:17,37.72,-25.43,57.2,82,20,8.05
181,Gulabpura,IN,2020-04-17 03:32:18,25.9,74.67,88.83,23,90,10.47
182,Kon Tum,VN,2020-04-17 03:32:18,14.35,108.0,87.21,39,99,1.97
183,Vazante,BR,2020-04-17 03:32:18,-17.99,-46.91,65.89,72,81,3.27
184,San Policarpo,PH,2020-04-17 03:32:18,12.18,125.51,82.45,81,55,11.77
185,Magistralnyy,RU,2020-04-17 03:32:19,56.17,107.45,49.8,48,77,3.13
186,Upernavik,GL,2020-04-17 03:32:17,72.79,-56.15,23.65,90,100,10.63
187,Shar,KZ,2020-04-17 03:32:19,49.59,81.05,52.05,47,0,8.32
188,Cap Malheureux,MU,2020-04-17 03:32:19,-19.98,57.61,77.0,83,40,13.87
189,Maceio,BR,2020-04-17 03:32:20,-9.67,-35.74,75.2,94,75,3.36
190,Beringovskiy,RU,2020-04-17 03:32:20,63.05,179.32,25.48,96,98,18.32
191,Macapa,BR,2020-04-17 03:32:20,0.04,-51.07,77.0,100,16,2.24
192,Nouadhibou,MR,2020-04-17 03:32:20,20.93,-17.03,64.4,88,63,12.75
